,Binder_ID,sbridge,hbond,energies,bsa,rmsd
0,1,1.0,2.977639610549044,-60.670444444444435,-1.5996341463414632,0.3195678577777778
1,2,1.0,4.460747533113641,-64.45555555555556,0.021146341463414656,0.23732670888888885
2,3,1.0,3.3701190570677966,-62.51111111111112,-1.2158780487804879,0.23180690666666667
3,4,1.3076853695351416,3.951309505514563,-61.56822222222224,-1.7747804878048778,0.2806389288888889
4,5,1.0,5.132062184215926,-65.88044444444444,-0.9761951219512195,0.28212008888888884
5,6,0.0,3.705993717997695,-76.98222222222223,-2.208682926829268,0.17811795555555557
6,7,0.9999969245212896,5.272943745655879,-66.77355555555556,-2.098731707317073,0.18093483777777777
7,8,1.0588129905210515,2.5522248301968316,-68.30199999999999,-1.345951219512195,0.20673389111111107
8,9,1.7714284769769815,5.899928350475133,-78.22266666666667,-1.196121951219512,0.19962404000000006
9,10,1.0624911078836545,4.212487545966057,-73.22333333333334,-1.9674390243902438,0.26574168666666664
10,11,1.0869565217391304,3.1635693776374727,-69.85022222222224,-1.3065365853658537,0.21721270888888888
11,12,1.1666653835452452,1.9790778551052468,-65.62288888888891,-1.1496341463414632,0.21905280666666668
12,13,1.0344827335588906,2.989483941856141,-64.20622222222222,-1.4249756097560975,0.1902673377777778
13,14,1.3548387059155302,2.9784364892868154,-61.57755555555556,-1.0293658536585364,0.20434008888888885
14,15,0.0,3.2065359507201303,-68.46533333333332,-1.6181463414634145,0.2428153222222222
15,16,1.0,3.5477351375719826,-73.22933333333334,-1.9961707317073167,0.2561840933333333
16,17,0.999992914186573,4.142509284399769,-68.98222222222222,-1.9885121951219509,0.2817445622222223
17,18,0.9999848858176497,3.5163146092840054,-71.31822222222222,-1.9494634146341465,0.3327691377777778
18,19,1.1470149854151928,3.153843407388286,-62.757777777777775,-1.1994390243902437,0.22910148444444445
19,20,1.0,2.529423164580626,-74.26066666666667,-1.6154390243902432,0.22290087555555557
20,21,1.0263157894736843,2.758388359686845,-75.74288888888888,-1.5224878048780488,0.2404474333333333
21,22,1.5681374333827767,5.078125657125734,-75.51955555555554,-1.562780487804878,0.26515931333333337
22,23,1.3999746220240998,4.800490627401094,-80.6451111111111,-1.0812682926829267,0.2705263488888888
23,24,1.3076261985463553,7.051362835747802,-84.17933333333333,-1.498390243902439,0.33135186
24,25,1.8222221433047279,4.923480354683146,-67.37666666666668,-1.9438048780487804,0.28016048222222223
25,26,0.0,3.494856193926079,-67.74177777777777,-1.8136341463414634,0.24611991777777778
26,27,0.9999942681953713,3.243371323736586,-61.87199999999999,-0.971,0.16453645111111112
27,28,1.0571379206373461,2.846208219782294,-62.245111111111115,-0.7482195121951217,0.1920057755555555
28,29,1.9511062611814214,4.044286912782654,-63.23355555555555,-1.9461707317073171,0.2483625177777778
29,30,1.0487804406983967,5.020157285630217,-73.70288888888888,-1.3129024390243902,0.25966233555555557
30,31,1.1666666666666667,3.696595574923462,-75.46733333333334,-1.0937560975609755,0.20460830222222223
31,32,1.638846272093095,3.8738129961655248,-65.45066666666668,-1.8945365853658533,0.2710675688888889
32,33,1.0,4.596482653643958,-65.662,-1.9454146341463414,0.22962362444444445
33,34,0.0,2.4600212206223326,-56.92355555555555,-1.7306341463414634,0.2735670666666667
34,35,1.0555555536773713,4.591316343864921,-72.35244444444444,-1.900439024390244,0.2205370377777778
35,36,2.0526315789473686,4.377015354913189,-71.15755555555556,-0.9427560975609754,0.23347786000000004
36,37,1.3437473074469923,4.917310118142378,-75.18133333333336,-2.122829268292683,0.28781973111111114
37,38,1.2413792429721515,5.734135943226989,-74.63066666666666,-0.6959024390243902,0.27176232666666666
38,39,1.0,1.9461012499483568,-62.673555555555566,-1.3321951219512196,0.2603000644444445
39,40,1.0,3.017007362092971,-64.22644444444444,-1.3912926829268288,0.2581134755555556
40,41,0.9999924925560039,3.077416090611334,-72.91111111111111,0.2683658536585366,0.21657373333333332
41,42,1.9302325557703008,4.3172142104036935,-66.72822222222223,-0.6472195121951219,0.28380763555555555
42,43,0.0,3.4089914589634356,-73.00422222222223,-0.21958536585365837,0.21294300888888884
43,44,0.0,3.6020668675760374,-72.1291111111111,-1.4421463414634148,0.1942101311111111
44,45,0.9999445913486943,2.320570161824758,-74.20222222222222,-0.519,0.22756869777777772
45,46,0.9999998895492638,4.272819031292925,-75.85444444444445,-0.6442195121951215,0.27452365333333334
46,47,1.068963112364876,3.4588931864874892,-63.26222222222223,-1.5225609756097558,0.1737234688888889
47,48,1.692290646993972,5.04466314445256,-81.94688888888888,-1.0090487804878048,0.22917920444444448
48,49,1.0,2.8845667559485086,-62.67200000000002,-1.9014878048780488,0.2008906377777778
49,50,0.9999999621143343,1.5906509782560163,-58.63377777777779,-1.3185609756097558,0.6414889977777777
50,51,1.777775999018157,3.7341479594747873,-74.57577777777779,-0.11465853658536578,0.2751005533333334
51,52,2.199960119345055,4.379593266115778,-79.24311111111112,-0.6911463414634145,0.2101620688888889
52,53,0.9999999980044456,4.26015605144726,-64.97933333333334,-1.2920487804878047,0.26015850444444444
53,54,1.0475895183322845,3.3088157115467967,-61.97466666666667,-1.8140731707317068,0.21174033555555552
54,55,1.3333291885179468,3.894839031987676,-66.36355555555556,-0.9012439024390244,0.24846744222222228
55,56,0.9999236464472894,2.04605466423513,-57.064,-0.9828780487804879,0.3045369555555556
56,57,2.0237321712033047,3.7277429687467385,-68.18666666666667,-1.815390243902439,0.26303518444444446
57,58,2.399999913361003,4.34715789891737,-69.19555555555554,-1.7755853658536584,0.19948672
58,59,1.0,3.6995551403873326,-75.24177777777777,-1.6527560975609756,0.17198320222222221
59,60,1.4221984632938667,5.813401129918448,-83.50733333333334,-1.0180487804878047,0.23529844666666666
60,61,1.1428571428571428,2.6306338067700756,-68.74333333333333,-1.4311707317073168,0.22660187777777777
61,62,0.0,1.88204335892311,-67.88622222222223,-1.0859268292682926,0.2496071155555555
62,63,1.8666388920118813,5.383500746820412,-67.45222222222223,-1.7651951219512196,0.24527300444444444
63,64,1.0,2.8418198405243134,-69.97288888888889,-1.387560975609756,0.26334498
64,65,0.0,1.9822614908873242,-64.71355555555556,-0.11636585365853652,0.30512384444444446
65,66,0.9999999249716708,3.006097097903063,-59.090666666666664,-0.7490975609756096,0.2773425555555556
66,67,1.0277757163020884,5.410726289912439,-64.13600000000001,-1.0299268292682926,0.15502819333333331
67,68,0.0,4.352179063905152,-67.63533333333334,-1.6635121951219511,0.25089881555555554
68,69,1.911108100159324,6.012187694958419,-81.58288888888889,-0.9729024390243901,0.22695428
69,70,0.0,6.779161668880349,-77.12688888888889,-0.8371463414634148,0.19113164666666663
70,71,1.0999997829509218,4.455689669755596,-72.29066666666667,-0.9828536585365851,0.1975331733333334
71,72,1.0285714204346108,4.939080021200944,-74.67555555555556,-2.086487804878049,0.1961938311111111
72,73,1.0,3.278327029773073,-68.06022222222222,-0.5688048780487803,0.24642303333333335
73,74,1.0,1.7693226625990408,-60.31733333333334,-1.2310975609756096,0.2756106688888889
74,75,1.3421046427185255,5.294885373373108,-74.4571111111111,-0.17548780487804896,0.2221563644444445
75,76,1.6976516152365113,3.276448684476748,-71.65,-1.2043658536585367,0.27308434666666664
76,77,1.035711439119049,3.6209464938637916,-74.5328888888889,-1.113121951219512,0.2214624355555556
77,78,1.0,2.2576406520141714,-70.606,-1.913341463414634,0.24118461777777778
78,79,1.0,1.4225504627532382,-62.410222222222224,-1.935219512195122,0.25879628222222223
79,80,1.0,3.2290079754633494,-62.947555555555546,-1.624439024390244,0.23023104666666666
80,81,0.0,2.621294449046668,-67.67511111111111,-1.0771951219512197,0.26425955999999995
81,82,1.0,2.446067640993353,-66.34444444444445,-1.9301707317073171,0.22312479555555553
82,83,0.9999842755180643,2.046027692805831,-61.80177777777778,-1.8491951219512197,0.24182365777777776
83,84,0.9999999621388777,2.7421784305004095,-71.38377777777778,-2.0010975609756096,0.19268836666666667
84,85,0.9999999136174098,2.7429888981025345,-67.56688888888888,-1.0253902439024387,0.29205166666666665
85,86,1.0,2.219462175122373,-62.43888888888889,-2.0300000000000002,0.2526907444444444
86,87,2.1904282404456765,4.360965061458715,-80.31377777777777,-1.2255121951219512,0.19224380666666668
87,88,1.090907897450598,3.40407921350436,-71.84422222222221,-1.7537560975609756,0.4158516622222222
88,89,0.9999482089413038,3.066488149193351,-72.3908888888889,-1.3907804878048777,0.1907878177777778
89,90,1.0,4.577828647338771,-83.95088888888888,-1.0868780487804877,0.22819807555555557
90,91,0.9999999996198077,6.0932855785232185,-88.16577777777778,-1.110390243902439,0.20775719333333334
91,92,0.9999201981105338,2.170777035921136,-69.34800000000001,-0.9530243902439024,0.34729485555555556
92,93,0.9999998570448297,2.4391293164558854,-63.16422222222223,-1.559,0.21556214000000004
93,94,1.2162162162162162,2.3532969117126785,-55.455555555555556,-0.890073170731707,0.14786403777777782
94,95,0.0,6.608746938152171,-70.616,-1.0212195121951217,0.21450411333333333
95,96,0.0,4.066927759822479,-69.55955555555556,-1.2161951219512193,0.2761546022222222
96,97,1.1664761489587923,3.950948573642608,-60.427111111111095,-1.033,0.22483748444444443
97,98,0.9999995109049885,2.459584878691176,-54.65444444444445,-1.250439024390244,0.3421900288888889
98,99,0.999999969661669,2.2381032847150504,-58.685555555555545,-0.9796341463414632,0.3201381111111111
99,100,1.3938809675939396,3.4035936351254388,-59.27333333333334,-0.9323902439024389,0.2502680177777778
100,101,1.666666211375666,4.501849424561614,-69.09044444444444,-1.1140243902439027,0.2579131511111111
101,102,0.9999997642497604,3.6558024749403937,-81.38711111111112,-0.9189512195121952,0.2900325266666667
